education_level,degree_stream,skills,location,interests,risk_preference,years_experience,salary,demand_label,next_role_success,burnout_label
bachelors,human resources,general,india,"career,growth",medium,3,13500.0,stable,0,0
bachelors,engineering,"fresh,graduates,male",india,"career,growth",medium,3,19250.0,stable,0,0
masters,business,general,india,"career,growth",medium,3,19250.0,stable,0,1
bachelors,engineering,freshers,global,"career,growth",medium,1,19250.0,stable,0,1
bachelors,engineering,"hiring,freshers,bangalore,location,budget,upto,45k,inhand",india,"career,growth",medium,1,40000.0,stable,1,1
bachelors,engineering,"phone,banking",india,"career,growth",medium,3,275000.0,stable,1,0
bachelors,computer science,engineer,india,"career,growth",medium,1,19250.0,increasing,0,1
bachelors,engineering,"content,creator",india,"career,growth",medium,3,45000.0,stable,1,0
bachelors,engineering,"amazon,advertising",india,"career,growth",medium,3,15750.0,stable,0,0
bachelors,computer science,"software,engineer",india,"career,growth",medium,3,19250.0,increasing,0,0
masters,business,"administration,office",india,"career,growth",medium,3,20000.0,stable,1,0
bachelors,engineering,draftsman,india,"career,growth",medium,3,19250.0,stable,0,0
bachelors,engineering,"documents,verification",india,"career,growth",medium,3,22500.0,stable,1,0
bachelors,computer science,"software,developer",india,"career,growth",medium,1,19250.0,increasing,0,1
bachelors,engineering,"commerce,works,agency,amazon,ppc,management",india,"career,growth",medium,3,22903.55,stable,1,0
bachelors,engineering,"delivery,partner",india,"career,growth",medium,3,32500.0,stable,1,1
bachelors,engineering,"store,purchase",india,"career,growth",medium,3,30000.0,stable,1,1
bachelors,engineering,account,india,"career,growth",medium,3,36000.0,stable,1,1
bachelors,computer science,software,india,"career,growth",medium,1,19250.0,increasing,0,1
bachelors,engineering,"need,female,graduates,train,school,student,bandel",india,"career,growth",medium,3,16500.0,stable,0,0
bachelors,engineering,billing,india,"career,growth",medium,3,18000.0,stable,0,1
bachelors,engineering,"hotel,management",india,"career,growth",medium,1,25000.0,stable,1,1
bachelors,engineering,"faculty,wanted,commerce",india,"career,growth",medium,3,31500.0,stable,1,0
masters,business,project,india,"career,growth",medium,3,19250.0,stable,0,0
bachelors,engineering,editor,india,"career,growth",medium,3,19250.0,stable,0,1
bachelors,engineering,"front,office",india,"career,growth",medium,3,22500.0,stable,1,0
bachelors,engineering,rto,india,"career,growth",medium,3,18000.0,stable,0,1
bachelors,human resources,ordinator,india,"career,growth",medium,3,13500.0,stable,0,0
bachelors,engineering,"content,writers,part,time",india,"career,growth",medium,3,19250.0,stable,0,1
bachelors,engineering,"video,editor",india,"career,growth",medium,3,6000.0,stable,0,0
bachelors,computer science,"software,engineer,technopark",india,"career,growth",medium,1,10500.0,increasing,0,0
bachelors,engineering,aws,india,"career,growth",medium,3,19250.0,stable,0,0
bachelors,engineering,"video,editing",india,"career,growth",medium,3,4500.0,stable,0,0
bachelors,engineering,"google,ads,experience",india,"career,growth",medium,1,19250.0,stable,0,0
bachelors,computer science,"jet,diploma,engineer,mechanical,fabrication,production",india,"career,growth",medium,1,250000.0,increasing,1,0
bachelors,engineering,diploma,india,"career,growth",medium,1,19250.0,stable,0,0
bachelors,engineering,tellecaller,global,"career,growth",medium,3,23018.0,stable,1,0
bachelors,engineering,"supervisors,incharges",india,"career,growth",medium,3,19250.0,stable,0,0
bachelors,business,business,india,"career,growth",medium,3,19250.0,stable,0,0
bachelors,engineering,"computer,faculty",india,"career,growth",medium,3,19250.0,stable,0,0
bachelors,engineering,"process,associate",india,"career,growth",medium,3,160000.0,stable,1,0
bachelors,computer science,"software,training,infopark",india,"career,growth",medium,1,12000.0,increasing,0,1
bachelors,business,"business,development,associate",india,"career,growth",medium,3,475000.0,stable,1,1
bachelors,engineering,"hindi,content,writer",india,"career,growth",medium,3,10000.0,stable,0,0
bachelors,engineering,"social,media,remote",india,"career,growth",medium,3,4950.0,stable,0,0
bachelors,engineering,"summer,internship,programme",india,"career,growth",medium,3,19250.0,stable,0,1
bachelors,engineering,"wanted,female,office,assistants",india,"career,growth",medium,3,19250.0,stable,0,1
bachelors,engineering,"freshers,2024",india,"career,growth",medium,1,500000.0,stable,1,0
bachelors,engineering,"graphic,designer,internship",india,"career,growth",medium,3,8500.0,stable,0,0
bachelors,engineering,general,global,"career,growth",medium,1,19250.0,stable,0,0
bachelors,engineering,"digital,marketing",india,"career,growth",medium,1,19250.0,stable,0,1
bachelors,engineering,"data,entry,operators",india,"career,growth",medium,3,19250.0,increasing,0,0
bachelors,engineering,"document,verification",india,"career,growth",medium,3,15000.0,stable,0,1
masters,business,"digital,marketing",india,"career,growth",medium,3,34500.0,stable,1,0
bachelors,engineering,"freshers,delhi",india,"career,growth",medium,1,750000.0,stable,1,1
bachelors,engineering,"social,media",india,"career,growth",medium,3,15107.885,stable,0,0
bachelors,engineering,"receptionist,front,desk",india,"career,growth",medium,3,19250.0,stable,0,1
bachelors,engineering,"derivatives,trader",india,"career,growth",medium,3,19250.0,stable,0,0
bachelors,engineering,"document,verification,apply,now",india,"career,growth",medium,1,21914.56,stable,1,1
bachelors,computer science,"technical,support,engineer",india,"career,growth",medium,3,33500.0,increasing,1,0
bachelors,engineering,"freshers,internship",india,"career,growth",medium,1,19250.0,stable,0,1
bachelors,engineering,"shipment,pricing,documentation,freshers,can,apply",india,"career,growth",medium,1,19250.0,stable,0,0
bachelors,computer science,"software,tester,internship",india,"career,growth",medium,1,12500.0,increasing,0,0
bachelors,engineering,"graduate,student",india,"career,growth",medium,3,12500.0,stable,0,1
bachelors,engineering,"freshers,bootcamp,job,oriented,program",india,"career,growth",medium,1,19250.0,stable,0,0
bachelors,engineering,"cyber,security",india,"career,growth",medium,1,20000.0,stable,1,1
bachelors,engineering,seo,india,"career,growth",medium,1,19250.0,stable,0,0
bachelors,engineering,"corporate,freshers",india,"career,growth",medium,1,19250.0,stable,0,1
bachelors,computer science,"engineer,network,security",india,"career,growth",medium,1,400000.0,increasing,1,1
bachelors,engineering,seo,india,"career,growth",medium,3,6500.0,stable,0,0
bachelors,engineering,data,india,"career,growth",medium,1,19250.0,increasing,0,1
bachelors,computer science,java,india,"career,growth",medium,1,19250.0,stable,0,1
bachelors,engineering,"academic,advisor,work,home",india,"career,growth",medium,3,18500.0,stable,0,1
bachelors,engineering,research,global,"career,growth",medium,1,350000.0,stable,1,1
bachelors,engineering,"google,ads",india,"career,growth",medium,3,550000.0,stable,1,0
bachelors,engineering,"alt,text,writer,general",india,"career,growth",medium,3,22500.0,stable,1,0
bachelors,engineering,"talent,acquisition,freshers",india,"career,growth",medium,1,19250.0,stable,0,0
bachelors,engineering,accounts,india,"career,growth",medium,3,19250.0,stable,0,1
bachelors,engineering,"graduate,full,time",india,"career,growth",medium,1,400000.0,stable,1,1
bachelors,engineering,"voice,process",india,"career,growth",medium,1,17500.0,stable,0,0
bachelors,computer science,"quality,engineer",india,"career,growth",medium,1,400000.0,increasing,1,1
bachelors,engineering,freshers,india,"career,growth",medium,1,8500.0,stable,0,1
bachelors,engineering,finance,india,"career,growth",medium,3,15000.0,stable,0,0
bachelors,human resources,recruiter,india,"career,growth",medium,3,12500.0,stable,0,0
bachelors,engineering,power,india,"career,growth",medium,1,19250.0,stable,0,1
bachelors,engineering,field,india,"career,growth",medium,3,15000.0,stable,0,1
bachelors,human resources,general,india,"career,growth",medium,1,19250.0,stable,0,0
bachelors,engineering,"jewel,data,entry",india,"career,growth",medium,3,13500.0,increasing,0,1
bachelors,engineering,"operations,ordinator",india,"career,growth",medium,3,17500.0,stable,0,1
bachelors,engineering,data,india,"career,growth",medium,3,27000.0,increasing,1,0
bachelors,engineering,"opening,manual,testing",global,"career,growth",medium,1,20177.125,stable,1,1
bachelors,engineering,production,india,"career,growth",medium,1,22500.0,stable,1,1
bachelors,computer science,"get,graduate,engineer",india,"career,growth",medium,1,110000.0,increasing,1,1
bachelors,engineering,"jewellery,cad,designer",india,"career,growth",medium,3,22500.0,stable,1,0
bachelors,engineering,"recruiters,freshers",india,"career,growth",medium,1,19250.0,stable,0,0
bachelors,engineering,"factory,helpers",india,"career,growth",medium,3,17675.0,stable,0,1
bachelors,computer science,"software,developer",global,"career,growth",medium,1,19250.0,increasing,0,0
bachelors,engineering,teacher,india,"career,growth",medium,3,20000.0,stable,1,0
bachelors,computer science,"hybrid,mobile,app,developer",india,"career,growth",medium,3,21500.0,increasing,1,1
bachelors,engineering,"fellow,hpb,surgery",india,"career,growth",medium,3,19250.0,stable,0,0
bachelors,engineering,"digital,marketing,service",india,"career,growth",medium,3,42500.0,stable,1,0
bachelors,engineering,"freshers,experience,can,apply",india,"career,growth",medium,1,23500.0,stable,1,1
bachelors,engineering,"remote,talent,sourcer",india,"career,growth",medium,1,19250.0,stable,0,0
bachelors,engineering,"freelance,contributor",india,"career,growth",medium,3,3500.0,stable,0,0
bachelors,engineering,"freelance,recruiter",india,"career,growth",medium,3,19250.0,stable,0,0
bachelors,engineering,"process,associates,bpo,non,voice",india,"career,growth",medium,3,19250.0,stable,0,0
bachelors,computer science,developer,india,"career,growth",medium,1,19250.0,increasing,0,1
bachelors,engineering,flutter,india,"career,growth",medium,3,19250.0,stable,0,1
bachelors,engineering,management,india,"career,growth",medium,1,650000.0,stable,1,0
bachelors,engineering,"visa,submission,operations",india,"career,growth",medium,3,19500.0,stable,1,1
bachelors,engineering,"mobile,development",india,"career,growth",medium,1,19250.0,stable,0,1
bachelors,engineering,"drug,safety,associate",india,"career,growth",medium,3,34400.145,stable,1,1
bachelors,engineering,"mep,supervisor",india,"career,growth",medium,3,22500.0,stable,1,0
bachelors,computer science,"mern,stack,developer",india,"career,growth",medium,1,11500.0,increasing,0,0
bachelors,engineering,"data,entry,operator,computer",india,"career,growth",medium,3,15000.0,increasing,0,0
bachelors,engineering,"artificial,intelligence,researcher,freshers",india,"career,growth",medium,1,19250.0,stable,0,0
bachelors,engineering,bca,india,"career,growth",medium,1,300000.0,stable,1,0
bachelors,human resources,internship,india,"career,growth",medium,3,7500.0,stable,0,0
bachelors,engineering,product,india,"career,growth",medium,3,19250.0,stable,0,0
phd,engineering,"research,associate",india,"career,growth",medium,3,30000.0,stable,1,1
bachelors,computer science,"php,developer,months,training",india,"career,growth",medium,1,17500.0,increasing,0,0
bachelors,computer science,"service,engineer,iti,diploma,any,degree",global,"career,growth",medium,1,21500.0,increasing,1,1
bachelors,engineering,mba,india,"career,growth",medium,1,12500.0,stable,0,1
bachelors,engineering,"vacancy,nathdwara,rajasthan",india,"career,growth",medium,1,13000.0,stable,0,1
masters,business,billing,india,"career,growth",medium,3,7500.0,stable,0,0
bachelors,engineering,"sales,godown,work",india,"career,growth",medium,3,20000.0,stable,1,0
bachelors,business,"business,development",india,"career,growth",medium,3,19250.0,stable,0,0
bachelors,computer science,"quality,software,tester,manual",india,"career,growth",medium,3,19250.0,increasing,0,0
bachelors,engineering,"immediate,hiring,freshers",india,"career,growth",medium,1,19250.0,stable,0,0
bachelors,human resources,"recruiter,non,freshers",india,"career,growth",medium,1,250000.0,stable,1,1
bachelors,engineering,"sales,freshers,can,apply",india,"career,growth",medium,1,17500.0,stable,0,0
bachelors,engineering,"coding,freshers",india,"career,growth",medium,1,19250.0,stable,0,0
bachelors,engineering,"data,mining,freshers,nagpur,location,only",india,"career,growth",medium,1,10250.0,increasing,0,0
bachelors,engineering,"power,app,freshers",india,"career,growth",medium,1,18500.0,stable,0,0
bachelors,engineering,technical,global,"career,growth",medium,1,19250.0,stable,0,0
bachelors,engineering,"data,entry,operator",india,"career,growth",medium,1,18000.0,increasing,0,1
bachelors,engineering,"medical,biller,dme,usa",india,"career,growth",medium,3,20000.0,stable,1,0
bachelors,engineering,logistics,india,"career,growth",medium,3,19250.0,stable,0,1
bachelors,engineering,"area,agri,milk,procurement",global,"career,growth",medium,3,19250.0,stable,0,0
bachelors,engineering,"full,stack,development",global,"career,growth",medium,3,19250.0,stable,0,1
bachelors,engineering,marketing,india,"career,growth",medium,3,9000.0,stable,0,0
bachelors,engineering,"management,investments,life,insurance,australian,shift,vadodara,only",india,"career,growth",medium,1,23500.0,stable,1,1
bachelors,engineering,"data,entry,apply,now",global,"career,growth",medium,1,23044.395,increasing,1,1
bachelors,engineering,personal,india,"career,growth",medium,3,32500.0,stable,1,1
bachelors,engineering,"greenpeace,ngo,fundraiser",india,"career,growth",medium,3,28500.0,stable,1,0
bachelors,engineering,"fresher_mumbai_bhartiyavidya,peeth",india,"career,growth",medium,1,19250.0,stable,0,1
bachelors,engineering,programmer,india,"career,growth",medium,3,23500.0,stable,1,0
bachelors,engineering,"freshers,content,writter",india,"career,growth",medium,1,12500.0,stable,0,0
bachelors,computer science,"service,engineer,freshers,can,apply",india,"career,growth",medium,1,18500.0,increasing,0,1
bachelors,engineering,"wanted,freshers,nagamalai,pudukottai,nearby,areas",india,"career,growth",medium,1,9000.0,stable,0,1
bachelors,engineering,duty,india,"career,growth",medium,3,20500.0,stable,1,1
bachelors,engineering,"operations,construction",india,"career,growth",medium,1,575000.0,stable,1,0
bachelors,computer science,"flutter,developer",india,"career,growth",medium,3,37637.525,increasing,1,0
bachelors,engineering,"australian,accounting",india,"career,growth",medium,1,32500.0,stable,1,0
bachelors,engineering,"female,kannada,telecalling,associate",india,"career,growth",medium,3,19250.0,stable,0,0
bachelors,engineering,"application,support,wfh",india,"career,growth",medium,1,12500.0,stable,0,0
bachelors,engineering,"pay,per,click,google,adwords,expert,performance,marketing",india,"career,growth",medium,3,19250.0,stable,0,1
bachelors,engineering,ticketing,india,"career,growth",medium,3,16000.0,stable,0,0
bachelors,engineering,scientific,india,"career,growth",medium,1,19250.0,stable,0,0
bachelors,business,"business,development,associate,bda",india,"career,growth",medium,3,18500.0,stable,0,1
bachelors,computer science,"software,engineer",india,"career,growth",medium,1,19250.0,increasing,0,0
bachelors,engineering,"student,counsellor",india,"career,growth",medium,3,22500.0,stable,1,0
bachelors,engineering,"quality,control",india,"career,growth",medium,1,19250.0,stable,0,1
bachelors,engineering,"cast,member",india,"career,growth",medium,3,3000.0,stable,0,0
bachelors,engineering,"front,office",global,"career,growth",medium,3,22500.0,stable,1,0
bachelors,engineering,"germany,physiotherapist",global,"career,growth",medium,3,200000.0,stable,1,0
bachelors,engineering,"vacancy,bba,bca,bsc,graduates",global,"career,growth",medium,1,125000.0,stable,1,0
bachelors,engineering,"packaging,technical",india,"career,growth",medium,1,19250.0,stable,0,1
bachelors,engineering,"pick,packer",india,"career,growth",medium,3,9000.0,stable,0,1
bachelors,engineering,"office,work,experience",india,"career,growth",medium,3,19250.0,stable,0,0
bachelors,engineering,graduate,global,"career,growth",medium,1,19250.0,stable,0,0
bachelors,engineering,"quality,control",india,"career,growth",medium,3,19250.0,stable,0,0
bachelors,engineering,"front,office,executives,interns",india,"career,growth",medium,3,19250.0,stable,0,1
bachelors,engineering,cashier,india,"career,growth",medium,3,19250.0,stable,0,0
bachelors,engineering,commis,india,"career,growth",medium,3,10000.0,stable,0,0
bachelors,engineering,"academic,advisor,female",india,"career,growth",medium,3,23000.0,stable,1,1
bachelors,computer science,developer,india,"career,growth",medium,3,45000.0,increasing,1,0
bachelors,human resources,"accounts,female,only",india,"career,growth",medium,3,19250.0,stable,0,1
phd,engineering,research,india,"career,growth",medium,3,19250.0,stable,0,1
bachelors,engineering,"vacancy,photography,girnar,ropeway,gujarat",india,"career,growth",medium,1,13000.0,stable,0,0
bachelors,engineering,"management,financial,planning,investment,job,location,vadodara,gujarat",india,"career,growth",medium,1,18500.0,stable,0,0
bachelors,engineering,"life,insurance,advisor",india,"career,growth",medium,3,37500.0,stable,1,0
bachelors,engineering,"research,entry,level,job,freshers",india,"career,growth",medium,1,8500.0,stable,0,0
bachelors,engineering,mca,india,"career,growth",medium,1,19250.0,stable,0,0
bachelors,engineering,"fresh,graduates",india,"career,growth",medium,3,19250.0,stable,0,0
bachelors,engineering,"graphic,designer",india,"career,growth",medium,1,19250.0,stable,0,0
bachelors,human resources,"technical,graduate,apprentice,india,uhr",india,"career,growth",medium,3,19250.0,stable,0,1
bachelors,engineering,"education,consultant",india,"career,growth",medium,3,18500.0,stable,0,0
bachelors,engineering,"warehouse,incharge",india,"career,growth",medium,3,24000.0,stable,1,0
bachelors,engineering,research,india,"career,growth",medium,1,19250.0,stable,0,0
bachelors,engineering,"accessories,incharge",india,"career,growth",medium,3,16000.0,stable,0,1
bachelors,engineering,"brand,collaborator",global,"career,growth",medium,3,17500.0,stable,0,1
bachelors,engineering,"digital,freshers,bsc,bca,mca",india,"career,growth",medium,1,19250.0,stable,0,0
bachelors,engineering,"general,basic,workers",india,"career,growth",medium,3,19250.0,stable,0,1
bachelors,engineering,"medical,scribe",india,"career,growth",medium,3,11000.0,stable,0,0
bachelors,engineering,data,global,"career,growth",medium,1,19250.0,increasing,0,1
bachelors,computer science,"atm,service,engineer",india,"career,growth",medium,3,21000.0,increasing,1,0
bachelors,engineering,"organic,chemist,2024",india,"career,growth",medium,1,19250.0,stable,0,0
bachelors,engineering,"factory,incharge",india,"career,growth",medium,3,52500.0,stable,1,1
bachelors,data science,"machine,learning",global,"career,growth",medium,3,24000.0,stable,1,1
bachelors,engineering,"graduate,pickling",india,"career,growth",medium,1,19250.0,stable,0,1
bachelors,engineering,"off,campus,hiring,batch,2023",india,"career,growth",medium,1,400000.0,stable,1,1
bachelors,engineering,associate,india,"career,growth",medium,1,19250.0,stable,0,1
bachelors,computer science,"software,programmer",global,"career,growth",medium,1,19250.0,increasing,0,1
bachelors,engineering,"helper,male,only",india,"career,growth",medium,3,10000.0,stable,0,1
bachelors,engineering,"graphic,designer",india,"career,growth",medium,3,19250.0,stable,0,0
bachelors,engineering,technical,india,"career,growth",medium,3,35000.0,stable,1,1
bachelors,engineering,"teaching,non",india,"career,growth",medium,3,19250.0,stable,0,1
bachelors,engineering,"database,administrators",india,"career,growth",medium,3,19250.0,increasing,0,1
bachelors,engineering,associate,global,"career,growth",medium,1,19250.0,stable,0,0
bachelors,engineering,dmo,india,"career,growth",medium,3,45000.0,stable,1,0
bachelors,engineering,"web,designers",india,"career,growth",medium,3,19250.0,stable,0,1
bachelors,engineering,"final,group,pursuing",global,"career,growth",medium,1,19250.0,stable,0,0
bachelors,engineering,"personal,secretary",global,"career,growth",medium,3,77500.0,stable,1,0
bachelors,engineering,anchor,india,"career,growth",medium,3,20000.0,stable,1,0
bachelors,human resources,"human,resource",india,"career,growth",medium,3,19250.0,stable,0,0
bachelors,computer science,"software,trainer",india,"career,growth",medium,3,19250.0,increasing,0,1
bachelors,engineering,modelling,india,"career,growth",medium,3,19250.0,stable,0,0
bachelors,engineering,"block,coordinator",india,"career,growth",medium,3,18500.0,stable,0,1
bachelors,engineering,"professor,associate",india,"career,growth",medium,3,19250.0,stable,0,0
bachelors,engineering,"computer,staff,female,kollam",india,"career,growth",medium,3,9000.0,stable,0,0
bachelors,engineering,professor,india,"career,growth",medium,3,30000.0,stable,1,1
bachelors,engineering,"hubli,fresh,graduates,english,design",india,"career,growth",medium,3,18075.0,stable,0,0
bachelors,engineering,"sales,associate",global,"career,growth",medium,3,19500.0,stable,1,0
bachelors,engineering,"media,admin,teaching",india,"career,growth",medium,3,5500.0,stable,0,1
bachelors,computer science,"sound,engineer",india,"career,growth",medium,3,19250.0,increasing,0,0
bachelors,engineering,"computer,operator",india,"career,growth",medium,3,13500.0,stable,0,0
bachelors,engineering,"quality,assurance",india,"career,growth",medium,3,19250.0,stable,0,1
bachelors,engineering,"data,entry,operater",india,"career,growth",medium,3,20000.0,increasing,1,1
bachelors,engineering,"brand,collaborator",india,"career,growth",medium,3,17500.0,stable,0,1
bachelors,computer science,"opportunity,post,mechanical,engineer",india,"career,growth",medium,1,19250.0,increasing,0,0
bachelors,engineering,admin,india,"career,growth",medium,3,19250.0,stable,0,0
bachelors,computer science,"full,stack,developer",india,"career,growth",medium,1,11000.0,increasing,0,1
bachelors,computer science,"electronics,engineer",india,"career,growth",medium,1,19250.0,increasing,0,1
bachelors,engineering,supervisor,india,"career,growth",medium,3,18500.0,stable,0,1
bachelors,engineering,"store,keeper",india,"career,growth",medium,3,14750.0,stable,0,0
bachelors,engineering,"field,information",india,"career,growth",medium,3,22500.0,stable,1,1
bachelors,engineering,"female,office,staff",india,"career,growth",medium,3,19250.0,stable,0,0
bachelors,engineering,ipqa,global,"career,growth",medium,3,19250.0,stable,0,1
bachelors,business,business,india,"career,growth",medium,1,19250.0,stable,0,1
bachelors,engineering,admission,india,"career,growth",medium,1,450000.0,stable,1,1
bachelors,engineering,programmers,india,"career,growth",medium,1,19250.0,stable,0,0
bachelors,engineering,environmental,global,"career,growth",medium,1,19250.0,stable,0,1
bachelors,engineering,"receptionist,urgent",india,"career,growth",medium,3,19250.0,stable,0,0
bachelors,engineering,"game,tester",india,"career,growth",medium,3,18000.0,stable,0,0
bachelors,engineering,sales,india,"career,growth",medium,1,19250.0,stable,0,0
bachelors,engineering,associate,india,"career,growth",medium,3,18000.0,stable,0,0
bachelors,engineering,"cad,designer",india,"career,growth",medium,3,19250.0,stable,0,1
bachelors,engineering,"behavioural,trainer",india,"career,growth",medium,1,19000.0,stable,0,0
bachelors,engineering,caller,india,"career,growth",medium,1,19250.0,stable,0,1
bachelors,engineering,"pizzahut,team,member",india,"career,growth",medium,3,18150.0,stable,0,1
bachelors,engineering,"document,scanning",india,"career,growth",medium,3,19250.0,stable,0,1
bachelors,engineering,"proofreading,quality,control,copy,editing,freshers,also,welcome",india,"career,growth",medium,1,234595.925,stable,1,1
bachelors,engineering,"pharma,freshers",india,"career,growth",medium,1,300000.0,stable,1,0
bachelors,human resources,"human,resource",global,"career,growth",medium,3,550000.0,stable,1,1
bachelors,engineering,"project,billing",india,"career,growth",medium,3,21500.0,stable,1,0
bachelors,engineering,"data,entry",india,"career,growth",medium,3,3000.0,increasing,0,0
bachelors,engineering,"management,financial,planning,investments,job,location,vadodara,only",india,"career,growth",medium,1,31500.0,stable,1,0
bachelors,engineering,accounting,india,"career,growth",medium,1,19250.0,stable,0,0
bachelors,engineering,"documentation,freshers",india,"career,growth",medium,1,19250.0,stable,0,1
bachelors,engineering,bouncer,india,"career,growth",medium,3,30000.0,stable,1,0
bachelors,business,"international,business,development",india,"career,growth",medium,3,19250.0,stable,0,1
bachelors,engineering,"medical,representative,vacancy",india,"career,growth",medium,3,17500.0,stable,0,1
bachelors,engineering,"programme,coordinator",india,"career,growth",medium,3,19250.0,stable,0,1
bachelors,engineering,"delivery,boy",india,"career,growth",medium,3,20000.0,stable,1,1
bachelors,computer science,"graduate,engineer,get",india,"career,growth",medium,1,19250.0,increasing,0,1
bachelors,engineering,"modeling,artist",india,"career,growth",medium,3,20000.0,stable,1,0
bachelors,engineering,"virtual,scribe",india,"career,growth",medium,1,32500.0,stable,1,1
bachelors,human resources,"internship,non,paid",india,"career,growth",medium,3,19250.0,stable,0,0
bachelors,engineering,general,india,"career,growth",medium,3,19250.0,stable,0,0
bachelors,engineering,"client,care",india,"career,growth",medium,1,19250.0,stable,0,1
bachelors,engineering,"database,administrator",india,"career,growth",medium,3,45431.53,increasing,1,0
bachelors,engineering,"roto,artist",india,"career,growth",medium,3,19250.0,stable,0,1
bachelors,engineering,"medical,coding",india,"career,growth",medium,1,19250.0,stable,0,1
bachelors,human resources,recruitment,india,"career,growth",medium,3,22500.0,stable,1,1
masters,business,"assisstant,resource,manager_construction,projects",india,"career,growth",medium,3,19250.0,stable,0,1
bachelors,engineering,"data,entry,operator,deo",india,"career,growth",medium,3,16212.72,increasing,0,0
bachelors,engineering,"hiring,graduates",india,"career,growth",medium,3,11100.0,stable,0,1
bachelors,engineering,"social,media,influencer",india,"career,growth",medium,3,11667.245,stable,0,0
bachelors,engineering,counsellor,india,"career,growth",medium,3,19250.0,stable,0,0
bachelors,engineering,"job,drive,trivandrum",india,"career,growth",medium,3,25000.0,stable,1,0
bachelors,engineering,store,india,"career,growth",medium,3,15000.0,stable,0,1
bachelors,computer science,"engineer,civil",india,"career,growth",medium,1,19250.0,increasing,0,0
bachelors,engineering,regulatory,india,"career,growth",medium,3,19250.0,stable,0,1
bachelors,engineering,"billing,clerk",india,"career,growth",medium,3,10000.0,stable,0,1
bachelors,engineering,"brand,promoter",india,"career,growth",medium,3,12500.0,stable,0,1
