career_name,top_skills,avg_salary,salary_p25,salary_p75,salary_range,demand_score,locations,postings_count,skills_count
assistant vice president finance,insurance management attention to detail organizational skills multitasking communication skills interpersonal skills collaboration us payroll processing tax regulations compliance financial planning and analysis financial reporting adp software financial software excel 401 k administration invoice processing contract administration confidentiality,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
assistant/associate /professors,,780000.0,780000.0,780000.0,780000-780000,0.0,pollachi tamil nadu,0,0
associate / associate director of asset management finance and investor relations,financial analysis financial reporting budgeting risk assessment market research business writing cash flow projections variance analysis strategic planning presentation skills leadership communication analytical thinking attention to detail initiative integrity teamwork self-starter asset management real estate financial modeling investor relations property management,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
associate corporate business development,market research analytical skills negotiation skills presentation skills saas knowledge collaboration communication entrepreneurial mindset adaptability relationship building problem solving financial modeling business valuation m a modeling business case development due diligence,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
associate director finance and controlling,financial analysis financial modeling ifrs management accounting cost controlling variance analysis business modeling kpi tracking capital expenditure evaluation communication teamwork problem solving organizational skills adaptability attention to detail independence,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
associate director sales development smb,sales development team management customer acquisition sales metrics tracking hiring and training leadership communication problem solving adaptability collaboration cultural fit data analytics gtm strategy outbound methodology coaching engagement,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
associate part time sales,customer service sales communication technical training self-motivated passionate caring teamwork adaptability bluetooth technology iot platforms competitive knowledge-seeker,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
associate partner human resources nasc,microsoft office hris payroll systems data analysis microsoft excel communication problem solving interpersonal skills confidentiality flexibility attention to detail customer service time management teamwork pivot tables vlookups,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
associate sales manager,,240000.0,240000.0,240000.0,240000-240000,0.0,vashi navi mumbai maharashtra,0,0
associate strategic finance,financial analysis financial statement analysis analytical skills communication skills organizational skills collaboration adaptability financial modeling capital raising debt capital transactions business forecasting m a support intellectual curiosity,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
associate supply chain team,,260000.0,260000.0,260000.0,260000-260000,0.0,bengaluru karnataka,0,0
asst purchase manager,,240000.0,240000.0,240000.0,240000-240000,0.0,calicut kerala,0,0
atm service engineer,,252000.0,252000.0,252000.0,252000-252000,0.0,salem tamil nadu,0,0
audit director - information technology,project management microsoft office suite communication critical thinking teamwork leadership initiative organizational skills interpersonal skills problem solving it audit risk assessment internal controls data analytics application security compliance audit techniques sdlc agile development data governance business continuity owasp top 10 financial regulations technical environment understanding professional skepticism continuous learning,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
auditor accounting/finance,accounting systems excel microsoft products communication organizational skills interpersonal skills analytical thinking time management problem solving attention to detail collaboration gaap compliance external auditing budget analysis statistical analysis cost allocation methods grant accounting omb circulars 2 cfr 200 independence,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
australian accounting - fresher,,390000.0,390000.0,390000.0,390000-390000,0.0,ahmedabad gujarat,0,0
auto finance insurance manager - city auto group,customer service computer proficiency time management communication attention to detail work ethic relationship building prioritization automotive finance insurance management deal structuring leasing state law compliance decision-making,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
autocad draftsman,,180000.0,180000.0,180000.0,180000-180000,0.0,gundavali mumbai maharashtra,0,0
avp financial analyst - commercial transportation finance,financial analysis data analysis financial modeling risk assessment reporting capital structure evaluation negotiation communication collaboration problem solving influence independent work relationship building strategic thinking teamwork credit assessment lending processes troubleshooting customer service,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
avp health plan finance texas,financial analysis accounting financial forecasting financial reporting budgeting data analysis leadership team development communication project management problem solving cross-functional collaboration analytical thinking adaptability coaching stakeholder engagement healthcare analytics m a integration business intelligence tools contract pricing negotiation regulatory reporting managed care finance,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
back office assistant,,298101.0,261151.5,335050.5,261151-335050,0.0,"pimpri-chinchwad maharashtra,remote",0,0
back office executive,,318000.0,318000.0,318000.0,318000-318000,0.0,pimpri-chinchwad maharashtra,0,0
back office executive operations insurance,,183000.0,183000.0,183000.0,183000-183000,0.0,ujjain madhya pradesh,0,0
backend developer,,223500.0,223500.0,223500.0,0-0,0.6227,,145,0
badminton coach,,240000.0,240000.0,240000.0,240000-240000,0.0,bengaluru karnataka,0,0
bank follow up officer sme,,180000.0,180000.0,180000.0,180000-180000,0.0,kochi kerala,0,0
bca fresher,,300000.0,300000.0,300000.0,300000-300000,0.0,bellandur bengaluru karnataka,0,0
be/ me freshers,,156000.0,156000.0,156000.0,156000-156000,0.0,nagercoil tamil nadu,0,0
beauty and massage therapist,,240000.0,240000.0,240000.0,240000-240000,0.0,chennai tamil nadu,0,0
behavioural trainer- fresher,,228000.0,228000.0,228000.0,228000-228000,0.0,bengaluru karnataka,0,0
bell boy/girl,,156000.0,156000.0,156000.0,156000-156000,0.0,kodaikanal tamil nadu,0,0
bi data analyst,,6540466.4,3048756.0,8300000.0,3048756-8300000,0.0,"ke,us",0,0
big data architect,,8296348.0,8296348.0,8296348.0,8296348-8296348,0.0,ca,0,0
big data engineer,,3955102.1666666665,1386369.75,7257167.25,1386369-7257167,0.0,"ch,gb,in,md",0,0
bilingual sales assistant manager,sales customer service retail experience product handling merchandising communication teamwork problem solving determination adaptability customer empathy valid driver s license,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
billing analyst - finance,"accounting principles general ledger reconciliation financial reporting billing systems microsoft office analytical skills communication problem solving teamwork attention to detail organizational skills independent work interpersonal skills critical thinking gaap deltek,costpoint software financial systems government regulations",223500.0,223500.0,223500.0,0-0,0.0543,,1,2
billing clerk,,120000.0,120000.0,120000.0,120000-120000,0.0,ganapathi coimbatore tamil nadu,0,0
billing executive,,172000.0,150000.0,189000.0,150000-189000,0.0,"gopichettipalaiyam tamil nadu,idukki kerala,nilambur kerala",0,0
billing manager,,90000.0,90000.0,90000.0,90000-90000,0.0,ramanathapuram tamil nadu,0,0
block coordinator,,222000.0,222000.0,222000.0,222000-222000,0.0,kidwaipuri patna bihar,0,0
bouncer,,360000.0,360000.0,360000.0,360000-360000,0.0,mumbai maharashtra,0,0
branch accountant,,180000.0,180000.0,180000.0,180000-180000,0.0,kochi kerala,0,0
branch sales specialist full time,sales computer applications communication teamwork multitasking problem solving adaptability customer service order entry warehouse operations powered industrial equipment operation lifting up to 50 pounds leadership customer loyalty,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
brand collaborator,,210000.0,210000.0,210000.0,210000-210000,0.0,"bengaluru karnataka,hyderabad telangana",0,0
brand face,,240000.0,240000.0,240000.0,240000-240000,0.0,gurugram haryana,0,0
brand promoter,,150000.0,150000.0,150000.0,150000-150000,0.0,edapalli kerala,0,0
business analyst fresher,,180000.0,180000.0,180000.0,180000-180000,0.0,goregaon mumbai maharashtra,0,0
business associate,,264000.0,264000.0,264000.0,264000-264000,0.0,sahibganj jharkhand,0,0
business data analyst,,8150627.666666667,6623441.5,9752500.0,6623441-9752500,0.0,"lu,us",0,0
business development,microsoft office suite marketing data analysis documentation report generation community engagement relationship management problem solving communication adaptability independent thinking detail oriented decision making team collaboration,373341.33,366670.66500000004,380011.995,366670-380011,0.0293,"remote,thane maharashtra",1,1
business development - refined sugars/liquid sugar/beverage only,sales business development relationship building creativity organization communication problem solving market research liquid sugar knowledge sugar refining knowledge food science knowledge chemical knowledge,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
business development 1+ years sales exp req,sales crm microsoft office suite prospecting account management presentations customer service project management communication client nurturing time management adaptability relationship building problem solving teamwork self-motivation sales proposals,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
business development and teaming coach,business development teaming data analysis client relationship management training technology integration communication initiative relationship building collaboration influence professionalism problem solving financial planning coaching succession planning investment advisory finra series 7 finra series 66 coaching certifications,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
business development assistant,"ms office data entry budgeting expense reporting powerpoint time management communication teamwork event planning logistical assistance proofreading editing client engagement crm management software adobe photoshop chrome river microsoft sharepoint transaction,private fund platforms research",223500.0,223500.0,223500.0,0-0,0.0543,,1,2
business development assistant - grocery,vendor negotiation communication customer service collaboration organization time management problem solving adaptability decision making interpersonal skills ability to work under pressure ability to manage multiple priorities data entry merchandising software systems ms excel ecommerce basic analysis product information data flow,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
business development associate,"lead generation data analysis sales techniques market research communication tools team collaboration adaptability problem solving time management interpersonal skills customer engagement crm software presentation skills enthusiasm,lead generation sales closing account management presentation skills coaching industry knowledge communication teamwork problem solving networking relationship building adaptability crm proficiency time management salesforce,business development client relationship management data analysis financial strategy marketing communication team collaboration problem solving motivation adaptability strategic thinking customer service insurance licensing investment licensing,sales analytics market research crm software microsoft office sales strategies customer database analysis sales pitches communication negotiation collaboration customer service problem solving relationship building positive attitude decision making,sales strategies business development stakeholder engagement communication collaboration organizational skills problem solving facilitation teamwork strategic thinking relationship building proposal development grant writing project management fundraising methods content development",330456.59750000003,297176.82,366312.765,297176-366312,0.1465,"bengaluru karnataka,chinchwad pune maharashtra,coimbatore tamil nadu,goregaon mumbai maharashtra,kochi kerala,pune maharashtra,remote",5,5
business development associate / physician liaison,sales traveling communication time management teamwork adaptability problem solving self-motivation field marketing referral generation event planning marketing healthcare knowledge relationship building reporting,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
business development associate acquisitions,sales lead generation communication interpersonal skills relationship building motivation time management team collaboration adaptability prospecting crm research methods m a knowledge salesforce,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
business development associate bda,,222000.0,222000.0,222000.0,222000-222000,0.0,peelamedu coimbatore tamil nadu,0,0
business development center representative,"customer service communication teamwork problem solving adaptability,phone etiquette customer service sales experience communication interpersonal skills ability to work in a fast-paced environment customer satisfaction focus automotive industry knowledge",223500.0,223500.0,223500.0,0-0,0.0586,,2,2
business development community relations manager,crm systems sales strategy development market analysis business development project management communication tools phone email linkedin relationship building results-oriented networking problem solving adaptability team collaboration,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
business development consultant,sales crm financial analysis marketing lead generation customer experience communication relationship development problem solving teamwork adaptability time management negotiation salesforce com territory growth planning,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
business development coordinator,communication marketing proposal creation project management attention to detail team collaboration adaptability initiative time management client relations problem solving writing data management brand compliance,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
business development director,"marketing business development data analysis financial metrics healthcare knowledge customer service strategies leadership communication team management problem solving motivation strategic planning collaboration accountability adaptability crm software admission processes reimbursement systems staff training,market research strategic planning client relationship management communication negotiation business acumen analytical skills sales marketing relationship building team collaboration results-oriented mindset interpersonal skills influencing skills problem solving adaptability proposal development",223500.0,223500.0,223500.0,0-0,0.0586,,2,2
business development executive,"new business development lead generation account management bachelor s degree in business or related field business acumen communication relationship building sales growth healthcare industry experience,new business development lead generation account management business acumen bachelor s degree in business or marketing communication interpersonal skills self-motivated goal-oriented independent work collaborative work relationship building multi-tasking enthusiasm negotiation video production experience,sales business development customer relationship management project management market analysis presentation skills analytical skills communication interpersonal skills organizational skills problem solving persuasion adaptability elevator industry knowledge cold calling positive attitude,sales business development market strategy client relationship management competitive analysis communication relationship building motivation problem solving teamwork cold calling document management solutions it service capabilities product knowledge research,business development sales relationship building strategic planning logistics knowledge market analysis communication critical thinking interpersonal skills goal-oriented focus,sales business development project management customer relationship management communication interpersonal skills collaboration problem solving initiative time management decision making adaptability persuasiveness market research structural steel knowledge microsoft word microsoft excel microsoft powerpoint contract negotiation estimating attention to detail",192000.0,150000.0,234000.0,150000-234000,0.1758,"remote,vadodara gujarat",6,6
business development executive - omaha,sales experience lead development communication relationship building time management problem solving digital marketing prospecting closing leads negotiation,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
business development executive bde,,276000.0,234000.0,330000.0,234000-330000,0.0,"bopal ahmedabad gujarat,dwarka delhi delhi,kochi kerala",0,0
business development executive bpo - hi tech/new age,business development sales management negotiation automation tools contractual constructs market analysis customer relationship management marketing collateral development presentation skills industry knowledge interpersonal skills relationship building communication leadership teamwork problem solving adaptability bpo program management consulting delivery strategies compliance requirements data management financial analysis risk management project management performance management flexibility responsiveness trustworthiness stewardship,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
business development executive delaware maryland,business process improvement relationship management sales strategy development customer acquisition data analysis communication interpersonal skills resilience multi-tasking independence problem solving organizational skills market analytics territory management,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
business development executive- carlisle pa,digital marketing sales prospecting lead generation account management communication negotiation relationship building time management problem solving,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
business development growth,sales pipeline management negotiations customer service business development relationship building communication teamwork problem solving leadership motivation coaching adaptability resilience listening growth mindset,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
business development intern,"lead generation market research customer service microsoft office suite communication analytical skills teamwork problem solving time management independence blockchain decentralized finance defi event organization attention to detail,market research lead generation data analysis proposal development crm software communication analytical skills problem solving teamwork proactive self-motivated microsoft office suite",223500.0,223500.0,223500.0,0-0,0.0586,,2,2
business development intern remote,communication presentation skills relationship management market research proactivity teamwork adaptability networking customer service cryptocurrency trading influencer marketing affiliate marketing,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
business development manager,"business development sales strategies lead generation negotiation presentation skills customer relationship management market analysis communication team collaboration problem solving flexibility influence listening adaptability time management customer focus creativity iot market trends embedded,edge technologies pipeline management,crm microsoft word microsoft excel microsoft powerpoint project management marketing data analysis communication organization attention to detail networking collaboration problem solving adaptability business intelligence tools,account management client relationship management revenue target accountability business development it services project management target oriented self-motivated multi-tasking independent work communication can-do attitude articulate it staffing technical recruitment sourcing placing contractor staffing aggressive energetic,business development sales presentation skills communication relationship building self-motivation initiative teamwork problem solving attention to detail emotional intelligence adaptability entrepreneurial spirit automation software software platforms pipeline management market research consultative selling hubspot salesintel task management software forecasting,business development sales account management cold calling sales planning b2b sales presentation skills customer relationship management budget monitoring communication interpersonal skills problem solving teamwork independence adaptability entrepreneurial mindset relationship building passion for selling negotiation financial analysis marketing knowledge,b2b sales client account management networking communication problem solving sales mindset time management team collaboration payroll outsourcing sales property,casualty license 220 life,health license 215 commercial insurance sales human resources knowledge workers compensation knowledge health benefits knowledge sales presentations consulting skills 401k knowledge community engagement,business development client relationship management strategic planning staffing industry knowledge communication interpersonal skills collaboration adaptability problem solving autonomy time management sales market analysis light industrial sector knowledge lead generation,business development market analysis sales forecasting crm systems project management networking customer relationship management contract negotiation trade exhibitions promotional material preparation data reporting communication decision making commercial awareness customer focus relationship building team collaboration adaptability continuous improvement mindset technical product knowledge oil and gas industry knowledge salesforce presentation skills,b2b sales lead generation consultative selling market analysis financial management communication relationship building results driven personal effectiveness collaboration networking problem solving trust building urgency sales pipeline development crm tools salesforce territory management service-oriented solutions staffing solutions ethical conduct",223500.0,223500.0,223500.0,0-0,0.5276,,53,12
business development manager - audio north america,sales experience presentation skills negotiation business strategy customer relationship management forecasting market analysis communication problem solving teamwork influencing autonomy customer focus adaptability leadership time management audio engineering lighting systems technical support windows applications product knowledge project management technical documentation integrity,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
business development manager - automotive f i,sales processes data analysis income development reporting tools negotiating skills performance metrics communication team building leadership problem solving customer service relationship management strategic thinking finance and insurance customer loyalty programs automotive compliance training and development accountability adaptability time management,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
business development manager - dallas/fort worth,sales business development strategic selling budget management communication persuasion independence team coordination customer service problem solving networking presentation skills crm salesforce market analysis analytical thinking mechanical aptitude b2b sales product knowledge swimming pool equipment forecasting cold calling automated control systems basic electricity plumbing hydraulics water chemistry electronic chlorine generation solar heaters gas heaters electric heaters time management adaptability,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
business development manager - defense segment,business acumen market evaluation higher math knowledge communication relationship building collaboration problem solving personal drive empathy strategic thinking influence defense sales experience us dod contract bidding negotiation sales funnel management chemistry knowledge physics knowledge,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
business development manager - litigation,business development legal marketing project management analytical skills competitive intelligence communication teamwork strategic thinking independent judgment interpersonal skills time management creativity resilience consultative working style crm software marketing databases budget management event management,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
business development manager - new york,sales relationship management negotiation marketing planning customer relationship management software data analysis budget management communication problem solving time management independence creativity teamwork adaptability credibility microsoft outlook microsoft word microsoft excel microsoft powerpoint travel planning,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
business development manager - power generation,business development sales enablement project management market analysis strategic planning financial performance monitoring customer relationship management data analysis communication teamwork problem solving leadership negotiation adaptability strategic thinking relationship building collaboration initiative channel management commercial business models demand creation campaigns oil and gas industry knowledge,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
